0	0	512	0
1	0	1	0
2	0	7	0
3	0	17	0
4	0	24	0
5	0	34	0
6	0	51	0
7	0	65	0
8	0	55	0
9	0	80	0
10	0	75	0
11	0	99	0
12	0	134	0
13	0	130	0
14	0	157	0
15	0	175	0
16	0	173	0
17	0	166	0
18	0	167	0
19	0	176	0
20	0	153	0
21	0	153	0
22	2	152	6
23	11	136	4
24	4	166	7
25	19	136	7
26	21	128	11
27	42	139	10
28	37	147	6
29	59	153	25
30	55	191	18
31	63	234	23
32	64	239	39
33	103	284	21
34	91	279	30
35	110	340	21
36	130	315	21
37	161	329	11
38	158	309	14
39	178	341	6
40	203	300	6
41	182	279	4
42	203	241	2
43	208	247	4
44	215	216	1
45	212	204	2
46	207	216	1
47	202	218	3
48	233	234	0
49	204	248	0
50	210	205	1
51	180	237	1
52	179	209	1
53	204	226	1
54	166	241	2
55	158	230	2
56	167	241	1
57	172	228	1
58	158	250	1
59	154	253	1
60	157	305	6
61	164	276	3
62	157	305	3
63	171	353	9
64	178	290	7
65	187	340	11
66	211	304	14
67	242	367	34
68	252	349	26
69	234	322	38
70	303	397	64
71	336	409	70
72	325	395	110
73	356	410	160
74	367	417	196
75	439	439	219
76	438	475	305
77	476	457	315
78	509	475	414
79	575	505	461
80	552	505	457
81	621	548	490
82	607	535	427
83	651	551	585
84	623	574	481
85	752	581	454
86	731	594	503
87	726	629	452
88	767	657	495
89	773	617	364
90	849	679	328
91	797	703	332
92	860	733	308
93	825	674	221
94	870	705	235
95	781	732	210
96	927	788	223
97	872	735	201
98	841	682	180
99	865	739	189
100	921	764	201
101	870	670	182
102	889	706	177
103	886	734	183
104	866	726	199
105	839	717	197
106	805	693	174
107	753	679	159
108	794	726	196
109	748	665	151
110	724	645	161
111	672	644	129
112	751	656	177
113	724	678	169
114	635	623	164
115	685	658	180
116	633	654	191
117	630	635	167
118	619	683	181
119	538	657	173
120	583	739	232
121	575	668	226
122	565	608	197
123	515	668	279
124	512	662	314
125	547	676	258
126	506	569	324
127	431	725	319
128	523	683	366
129	436	579	396
130	504	528	404
131	489	560	446
132	471	578	427
133	489	496	438
134	531	526	484
135	535	485	523
136	532	482	524
137	473	458	581
138	525	441	534
139	574	408	601
140	586	446	684
141	595	467	587
142	566	423	720
143	579	459	782
144	593	406	752
145	584	399	843
146	555	410	763
147	626	461	940
148	579	456	924
149	535	414	1015
150	610	442	1030
151	543	462	985
152	550	475	1286
153	589	462	1154
154	557	432	1190
155	562	477	1298
156	619	467	1425
157	596	445	1369
158	655	500	1468
159	609	507	1541
160	639	521	1365
161	670	513	1404
162	629	488	1307
163	650	537	1385
164	654	499	1191
165	705	494	1143
166	699	541	1191
167	696	546	1162
168	723	537	1085
169	787	590	1088
170	795	627	914
171	803	615	898
172	863	656	955
173	884	577	835
174	951	665	884
175	938	623	722
176	1143	740	943
177	1180	720	815
178	1243	734	737
179	1330	778	881
180	1404	840	789
181	1519	839	846
182	1684	912	915
183	1732	936	947
184	2200	1148	1290
185	2137	1160	1197
186	2327	1237	1247
187	2537	1440	1402
188	2716	1704	1619
189	2993	1720	1523
190	3068	1885	1795
191	3151	1921	1863
192	4053	2446	2408
193	3985	2447	2474
194	4230	2579	2499
195	4592	3139	3280
196	4754	3237	3384
197	4955	3459	3674
198	5326	3947	4517
199	5403	4418	5340
200	5668	4804	5724
201	5517	5123	6489
202	5790	5281	6885
203	5611	5671	7623
204	6190	6102	9039
205	6559	5960	8494
206	7291	6009	9220
207	7745	6355	9998
208	7845	6450	10338
209	6768	6482	10496
210	5674	6837	9334
211	4635	7876	10077
212	4487	7776	8076
213	4518	7061	6872
214	5033	6392	6376
215	5034	5272	5468
216	5562	4988	6221
217	4659	4478	5170
218	4439	4476	4417
219	3463	4525	4326
220	2489	4937	3402
221	1078	4331	1364
222	338	4420	534
223	161	4327	147
224	171	4062	64
225	98	1881	15
226	59	382	5
227	21	181	1
228	13	94	0
229	1	59	0
230	1	35	0
231	0	24	0
232	0	13	0
233	0	5	0
234	0	2	0
235	0	0	0
236	0	0	0
237	0	0	0
238	0	0	0
239	0	0	0
240	0	0	0
241	0	0	0
242	0	0	0
243	0	0	0
244	0	0	0
245	0	0	0
246	0	0	0
247	0	0	0
248	0	0	0
249	0	0	0
250	0	0	0
251	0	0	0
252	0	0	0
253	0	0	0
254	0	0	0
255	0	0	0
