0	214
1	213
2	213
3	213
4	213
5	212
6	212
7	211
8	212
9	212
10	212
11	212
12	212
13	212
14	213
15	213
16	213
17	212
18	212
19	212
20	212
21	213
22	212
23	212
24	212
25	212
26	212
27	212
28	211
29	212
30	212
31	213
32	213
33	213
34	213
35	214
36	213
37	213
38	214
39	215
40	215
41	215
42	215
43	215
44	215
45	216
46	216
47	216
48	216
49	216
50	217
51	217
52	217
53	217
54	217
55	218
56	217
57	217
58	217
59	218
60	219
61	220
62	220
63	220
64	220
65	221
66	221
67	222
68	221
69	222
70	222
71	222
72	222
73	222
74	221
75	222
76	222
77	223
78	224
79	224
80	224
81	224
82	224
83	224
84	225
85	225
86	226
87	225
88	226
89	225
90	226
91	226
92	226
93	226
94	226
95	226
96	227
97	227
98	228
99	228
100	228
101	229
102	228
103	228
104	228
105	228
106	229
107	229
108	230
109	232
110	232
111	234
112	232
113	228
114	220
115	203
116	184
117	166
118	163
119	164
120	169
121	171
122	174
123	179
124	186
125	200
126	215
127	228
128	234
129	235
130	235
131	233
132	232
133	230
134	231
135	230
136	230
137	229
138	229
139	228
140	227
141	226
142	227
143	226
144	226
145	226
146	226
147	226
148	225
149	225
150	225
151	225
152	224
153	224
154	224
155	224
156	223
157	223
158	223
159	223
160	223
161	223
162	222
163	222
164	222
165	222
166	221
167	221
168	221
169	221
170	220
171	219
172	219
173	219
174	219
175	219
176	219
177	218
178	218
179	218
180	218
181	218
182	218
183	218
184	218
185	217
186	217
187	217
188	217
189	217
190	217
191	216
192	215
193	215
194	215
195	215
196	214
197	215
198	216
199	216
200	215
201	215
202	215
203	215
204	215
205	214
206	214
207	214
208	214
209	213
210	213
211	214
212	214
213	213
214	213
215	213
216	213
217	212
218	213
219	213
220	213
221	212
222	212
223	212
224	212
225	212
226	212
227	212
228	212
229	211
230	211
231	211
232	211
233	210
234	210
235	210
236	210
237	209
238	208
239	210
240	210
241	211
242	209
243	210
244	210
245	210
246	210
247	210
248	210
249	210
250	210
251	210
252	210
253	209
254	210
255	211
